{1=sample1,2=KM3245432}
CCD
Scan Type: From File
Y:\Collins\2024Nov\XRR\znpc\.macro\2024 11 15\znpc.txt
Delay After Move (s): 0.00000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\241115\CCD Scan 85249
Time	Frame #	Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Higher Order Suppressor	Horizontal Exit Slit Size	Beamline Energy	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint	Total Flux	Counts	Background	Filename
23:38:33	1.00000000	2.37000000	9.70000000	-5.00000000	0.00000000	0.00050000	8.74839583	2999.99218750	249.99650083	100.00000000	0.00000000	-40.00000000	500.82366943	0.01045649	-0.14606885	0.00002691	0.09224151	-0.01671089	-0.01702321	-1088.85452119	0.00007608	0.00000000	0.00000000	0.00000000	1093692.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	46297370.00000000	0.00000000	znpc_85249-00001
23:38:39	2.00000000	2.37000000	9.70000000	-5.00000000	0.00000000	0.00050000	8.74982458	2999.99218750	249.99838700	100.00000000	0.00000000	-40.00000000	500.65505981	0.01061923	-0.10283805	-0.00001583	0.05805137	-0.01725333	-0.00951124	-1088.85452119	0.00022401	0.00000000	0.00000000	0.00000000	1012852.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	46285700.00000000	0.00000000	znpc_85249-00002
23:38:44	3.00000000	2.37000000	9.70000000	-5.00000000	0.00000000	0.00050000	8.74998333	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.51696777	0.01042871	-0.15297263	0.00034909	0.06130601	-0.01745058	-0.01431101	-1088.85452119	0.00010895	0.00000000	0.00000000	0.00000000	1013040.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	46249959.00000000	0.00000000	znpc_85249-00003
23:38:50	4.00000000	2.37000000	9.70000000	-5.00000000	0.00000000	0.00050000	8.74998333	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.33691406	0.01057189	-0.12322063	0.00003349	0.07792439	-0.01746702	-0.02045866	-1088.85452119	0.00017470	0.00000000	0.00000000	0.00000000	1013060.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	46252566.00000000	0.00000000	znpc_85249-00004
23:38:55	5.00000000	2.37000000	9.70000000	-5.00000000	0.00000000	0.00050000	8.74998333	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.17288208	0.01066542	-0.13850757	0.00009102	0.08459805	-0.01628352	-0.01952172	-1088.85452119	0.00017470	0.00000000	0.00000000	0.00000000	1013172.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	46275335.00000000	0.00000000	znpc_85249-00005
23:39:04	6.00000000	2.37000000	9.18300000	-1.01650000	1.00000000	1.99950000	8.74998333	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	499.94628906	0.01173928	-0.11615248	0.00004828	0.04253431	-0.02008059	-0.01662871	-1088.85452119	0.00019114	0.00000000	0.00000000	0.00000000	1013344.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45663125.00000000	0.00000000	znpc_85249-00006
23:39:09	7.00000000	2.37000000	9.18100000	-1.01650000	1.24000000	2.47950000	8.74998333	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	501.23641968	0.01121410	-0.12486439	0.00002691	0.04830390	-0.01812452	-0.02267773	-1088.85452119	0.00015826	0.00000000	0.00000000	0.00000000	1013068.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45812837.00000000	0.00000000	znpc_85249-00007
23:39:14	8.00000000	2.37000000	9.17850000	-1.01650000	1.48000000	2.95950000	8.74998333	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	501.07162476	0.01070322	-0.07472981	-0.00003226	0.05101610	-0.01804234	-0.01521508	-1088.85452119	0.00009251	0.00000000	0.00000000	0.00000000	1013276.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45851411.00000000	0.00000000	znpc_85249-00008
23:39:20	9.00000000	2.37000000	9.17650000	-1.01650000	1.72000000	3.43950000	8.74998333	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.92208862	0.01086579	-0.10415305	0.00016663	0.07190824	-0.01796015	-0.01094131	-1088.85452119	-0.00008830	0.00000000	0.00000000	0.00000000	1013256.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45802071.00000000	0.00000000	znpc_85249-00009
23:39:25	10.00000000	2.37000000	9.17450000	-1.01600000	1.96000000	3.91950000	8.74998333	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.76416016	0.01044515	-0.14984949	0.00006801	0.02772406	-0.01745058	-0.02575156	-1088.85452119	-0.00012118	0.00000000	0.00000000	0.00000000	1013132.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45848538.00000000	0.00000000	znpc_85249-00010
