energy,os,wid,mu_x,mu_y,mu_z,theta,sym,xx,yy,zz,xy,xz,yz,atom,mo,cluster
283.71094,0.002544,0.21231422,0.0013319043,0.0013319043,0.99999821,0.10835236,1,4.5128958e-09,4.5128958e-09,0.0025439451,0,0,0,4,117,0,1
283.79688,0.000688,0.21231422,0.0010686696,0.0010686696,0.99999887,0.086229235,1,7.8607276e-10,7.8607276e-10,0.00068829535,0,0,0,3,117,0,1
283.88705,0.000141,0.21231422,0.0012847172,0.0012847172,0.99999833,0.10467833,1,2.3309363e-10,2.3309363e-10,0.00014122577,0,0,0,4,118,0,1
283.89062,0.0028880001,0.21231422,0.0013705416,0.0013705416,0.99999809,0.11190584,1,5.4244582e-09,5.4244582e-09,0.0028878211,0,0,0,2,117,0,1
283.91287,0.001386,0.21231422,0.0013894412,0.0013894412,0.99999809,0.11190584,1,2.6749245e-09,2.6749245e-09,0.0013855733,0,0,0,3,118,0,1
284.56958,0.01256,0.21231422,0.0012740247,0.0012740247,0.99999839,0.10279207,1,2.0387768e-08,2.0387768e-08,0.012560663,0,0,0,3,119,1,1
284.73267,0.007187,0.21231422,0.001277299,0.001277299,0.99999839,0.10279207,1,1.1726225e-08,1.1726225e-08,0.0071873982,0,0,0,4,119,1,1
285.12866,0.001283,0.21231422,0.0014012674,0.0014012674,0.99999803,0.11364091,1,2.5194868e-09,2.5194868e-09,0.001283123,0,0,0,4,120,2,1
285.17352,0.0046040001,0.21231422,0.0010960427,0.0010960427,0.99999881,0.088469326,1,5.5311573e-09,5.5311573e-09,0.0046042614,0,0,0,2,119,2,1
285.23438,0.0061260001,0.21231422,0.00087955839,0.00087955839,0.99999923,0.071326248,1,4.7390549e-09,4.7390549e-09,0.006125784,0,0,0,1,117,2,1
285.37234,0.001014,0.21231422,0.0012206386,0.0012206386,0.99999851,0.098911718,1,1.5105771e-09,1.5105771e-09,0.0010138352,0,0,0,2,120,2,1
285.37659,0.000179,0.21231422,0.0091355713,0.0091355713,0.99991655,0.74019259,1,1.4932446e-08,1.4932446e-08,0.00017889039,0,0,0,1,118,2,1
285.80905,0.00057899999,0.21231422,0.001352765,0.001352765,0.99999815,0.11014343,1,1.059733e-09,1.059733e-09,0.00057909539,0,0,0,4,122,3,1
285.83206,0.000208,0.21231422,0.0014082198,0.0014082198,0.99999803,0.11364091,1,4.1347187e-10,4.1347187e-10,0.00020849868,0,0,0,4,123,3,1
285.87497,5.6000001e-05,0.21231422,0.0017123083,0.0017123083,0.99999708,0.13847642,1,1.6474956e-10,1.6474956e-10,5.6189845e-05,0,0,0,3,122,3,1
285.89352,0.00014400001,0.21231422,0.0016552726,0.0016552726,0.99999726,0.1341704,1,3.9381945e-10,3.9381945e-10,0.00014373277,0,0,0,2,121,3,1
286.05084,0.000447,0.21231422,0.00066088222,0.00066088222,0.99999958,0.052339155,1,1.9508266e-10,1.9508266e-10,0.00044665285,0,0,0,2,123,3,1
286.27255,0.0057060001,0.21231422,0.0013717671,0.0013717671,0.99999809,0.11190584,1,1.0737689e-08,1.0737689e-08,0.005706219,0,0,0,4,124,4,1
286.53867,0.00079299998,0.21231422,0.0011218123,0.0011218123,0.99999875,0.090654083,1,9.9741182e-10,9.9741182e-10,0.00079256162,0,0,0,3,124,5,1
286.66254,0.00083099998,0.21231422,0.70710677,0.70710677,0.00018489533,89.989403,1,0.00041529498,0.00041529498,2.8394783e-11,0,0,0,4,125,5,1
286.73694,0.003858,0.21231422,0.0003624543,0.0003624543,0.99999988,0.027976455,1,5.0681104e-10,5.0681104e-10,0.0038577975,0,0,0,2,124,5,1
286.76227,0.000355,0.21231422,0.70710677,0.70710677,2.8107493e-08,90,1,0.00017760685,0.00017760685,2.8062994e-19,0,0,0,3,125,5,1
286.81787,0.001839,0.21231422,0.00016838708,0.00016838708,1,0,1,5.2141489e-11,5.2141489e-11,0.0018389327,0,0,0,1,119,5,1
287.05215,0.00049000001,0.21231422,0.70710677,0.70710677,0.00032918071,89.98114,1,0.00024504348,0.00024504348,5.3105811e-11,0,0,0,4,126,6,1
287.07697,0.001591,0.21231422,0.00079321826,0.00079321826,0.99999934,0.065610602,1,1.0011473e-09,1.0011473e-09,0.0015911532,0,0,0,1,120,6,1
287.12018,0.000202,0.21231422,0.14793138,0.14793138,0.97787148,12.075857,1,4.4191156e-06,4.4191156e-06,0.00019309821,0,0,0,3,126,6,1
287.12637,0.000189,0.21231422,0.50031543,0.50031543,0.70666039,45.03616,1,4.7314395e-05,4.7314395e-05,9.4390234e-05,0,0,0,3,127,6,1
287.18536,5.3e-05,0.21231422,0.70710063,0.70710063,0.0041624466,89.761505,1,2.640033e-05,2.640033e-05,9.1483809e-10,0,0,0,4,129,6,1
287.23117,0.00033099999,0.21231422,0.70710617,0.70710617,0.0013330521,89.923622,1,0.00016565566,0.00016565566,5.8875055e-10,0,0,0,3,129,6,1
287.23563,0.00068900001,0.21231422,0.00065668725,0.00065668725,0.99999958,0.052339155,1,2.969322e-10,2.969322e-10,0.00068855676,0,0,0,2,126,6,1
287.26978,7.1000002e-05,0.21231422,0.0023200451,0.0023200451,0.99999464,0.18767186,1,3.8265879e-10,3.8265879e-10,7.1090937e-05,0,0,0,1,121,6,1
287.37924,0.000233,0.21231422,0.70710671,0.70710671,0.00039530356,89.977348,1,0.00011673311,0.00011673311,3.6482584e-11,0,0,0,4,130,7,1
287.38358,6.9000002e-05,0.21231422,0.0001443627,0.0001443627,1,0,1,1.4441906e-12,1.4441906e-12,6.9297021e-05,0,0,0,1,122,7,1
287.47424,6.6000001e-05,0.21231422,0.7071051,0.7071051,0.0021899189,89.874527,1,3.2976695e-05,3.2976695e-05,3.1629713e-10,0,0,0,4,131,7,1
