energy,xx,yy,zz,xx_norm,yy_norm,zz_norm,planar,perp,theta,wid,atom,transition
284.222410,27.432732,27.432732,20232.971000,0.001356,0.001356,0.999998,0.001917,0.999998,0.109862,0.687230,2.000000,117.000000
285.062070,4.107004,4.107004,33525.117000,0.000123,0.000123,1.000000,0.000173,1.000000,0.009926,0.634845,3.000000,119.000000
285.509060,1.360727,1.360727,10435.761000,0.000130,0.000130,1.000000,0.000184,1.000000,0.010565,0.788664,1.000000,117.000000
286.102140,154.284880,154.284880,6236.608900,0.024723,0.024723,0.999389,0.034964,0.999389,2.003712,0.730991,4.000000,122.000000
286.744170,920.812260,920.812260,7620.967300,0.119100,0.119100,0.985713,0.168433,0.985713,9.696708,0.682956,4.000000,124.000000
287.070130,1477.483000,1477.483000,10046.023000,0.143990,0.143990,0.979047,0.203632,0.979047,11.749457,0.573667,2.000000,124.000000
287.610080,2085.623800,2085.623800,5114.481400,0.353254,0.353254,0.866270,0.499577,0.866270,29.972016,0.602839,1.000000,120.000000
288.159060,2423.146700,2423.146700,6186.908200,0.342612,0.342612,0.874776,0.484527,0.874776,28.981491,0.648400,3.000000,133.000000
288.567410,1132.150600,1132.150600,2810.666500,0.350000,0.350000,0.868907,0.494975,0.868907,29.668103,0.511483,3.000000,138.000000
288.870150,1077.874000,1077.874000,9032.513700,0.117669,0.117669,0.986057,0.166409,0.986057,9.579085,0.611687,1.000000,124.000000
289.379000,3219.834000,3219.834000,11244.733000,0.265406,0.265406,0.926887,0.375341,0.926887,22.045391,0.876103,1.000000,132.000000
290.205750,4452.688500,4452.688500,16007.821000,0.258850,0.258850,0.930588,0.366069,0.930588,21.473361,1.084615,2.000000,189.000000
291.749330,11476.140000,11476.140000,12447.603000,0.561084,0.561084,0.608580,0.793492,0.608580,52.513098,2.025818,2.000000,209.000000
293.498630,17843.910000,17843.910000,3578.640600,0.700102,0.700102,0.140407,0.990094,0.140407,81.928589,2.566904,1.000000,211.000000
295.369450,18722.078000,18722.078000,2778.987500,0.703244,0.703244,0.104385,0.994537,0.104385,84.008260,3.150425,2.000000,269.000000
298.519260,34342.418000,34342.418000,308.631740,0.707093,0.707093,0.006355,0.999980,0.006355,89.635908,5.032271,2.000000,327.000000
303.159580,44668.914000,44668.914000,424.646610,0.707091,0.707091,0.006722,0.999977,0.006722,89.614856,6.618328,3.000000,383.000000
307.155520,19419.305000,19419.305000,1076.504300,0.706564,0.706564,0.039168,0.999233,0.039168,87.755253,7.666371,1.000000,381.000000
313.498930,5551.775900,5551.775900,9048.125000,0.463432,0.463432,0.755289,0.655392,0.755289,40.949400,9.241170,3.000000,449.000000
