Energy (eV),n 10°,Dichroism 10°,Birefringence 10°,n 80°,Dichroism 80°,Birefringence 80°
250.0,"(np.complex128(0.0021260828178809713+0.00028067655815979567j), np.complex128(0.002062359036648465+0.0002806765581597957j))",-5.421010862427522e-20,6.372378123250654e-05,"(np.complex128(0.002062359036648465+0.0002806765581597957j), np.complex128(0.0021260828178809713+0.0002806765581597957j))",0.0,-6.372378123250654e-05
250.1,"(np.complex128(0.0021229018099758793+0.00028030414632612466j), np.complex128(0.0020589155756535+0.0002803041463261247j))",-5.421010862427522e-20,6.398623432237946e-05,"(np.complex128(0.0020589155756535+0.0002803041463261247j), np.complex128(0.0021229018099758793+0.0002803041463261247j))",0.0,-6.398623432237946e-05
250.2,"(np.complex128(0.0021197208020707877+0.0002799317344924536j), np.complex128(0.0020554721146585344+0.00027993173449245365j))",-5.421010862427522e-20,6.424868741225324e-05,"(np.complex128(0.0020554721146585344+0.00027993173449245365j), np.complex128(0.0021197208020707877+0.00027993173449245365j))",0.0,-6.424868741225324e-05
250.3,"(np.complex128(0.0021165397941656956+0.0002795593226587826j), np.complex128(0.0020520286536635695+0.00027955932265878264j))",-5.421010862427522e-20,6.451114050212616e-05,"(np.complex128(0.0020520286536635695+0.00027955932265878264j), np.complex128(0.0021165397941656956+0.00027955932265878264j))",0.0,-6.451114050212616e-05
250.4,"(np.complex128(0.0021133587862606036+0.0002791869108251116j), np.complex128(0.0020485851926686045+0.0002791869108251116j))",0.0,6.477359359199908e-05,"(np.complex128(0.0020485851926686045+0.00027918691082511163j), np.complex128(0.0021133587862606036+0.0002791869108251116j))",5.421010862427522e-20,-6.477359359199908e-05
250.5,"(np.complex128(0.002110177778355512+0.0002788144989914405j), np.complex128(0.0020451417316736395+0.00027881449899144057j))",-5.421010862427522e-20,6.503604668187243e-05,"(np.complex128(0.0020451417316736395+0.00027881449899144057j), np.complex128(0.002110177778355512+0.00027881449899144057j))",0.0,-6.503604668187243e-05
250.6,"(np.complex128(0.00210699677045042+0.0002784420871577695j), np.complex128(0.002041698270678674+0.0002784420871577695j))",0.0,6.529849977174578e-05,"(np.complex128(0.002041698270678674+0.00027844208715776956j), np.complex128(0.00210699677045042+0.0002784420871577695j))",5.421010862427522e-20,-6.529849977174578e-05
250.7,"(np.complex128(0.0021038157625453283+0.00027806967532409844j), np.complex128(0.002038254809683709+0.0002780696753240985j))",-5.421010862427522e-20,6.556095286161913e-05,"(np.complex128(0.002038254809683709+0.0002780696753240985j), np.complex128(0.0021038157625453283+0.0002780696753240985j))",0.0,-6.556095286161913e-05
250.8,"(np.complex128(0.0021006347546402362+0.00027769726349042743j), np.complex128(0.002034811348688744+0.00027769726349042743j))",0.0,6.582340595149205e-05,"(np.complex128(0.002034811348688744+0.0002776972634904275j), np.complex128(0.0021006347546402362+0.00027769726349042743j))",5.421010862427522e-20,-6.582340595149205e-05
250.9,"(np.complex128(0.002097453746735144+0.00027732485165675636j), np.complex128(0.0020313678876937792+0.0002773248516567564j))",-5.421010862427522e-20,6.608585904136497e-05,"(np.complex128(0.0020313678876937792+0.0002773248516567564j), np.complex128(0.002097453746735144+0.0002773248516567564j))",0.0,-6.608585904136497e-05
251.0,"(np.complex128(0.0020942727388300526+0.00027695243982308536j), np.complex128(0.002027924426698814+0.00027695243982308536j))",0.0,6.634831213123875e-05,"(np.complex128(0.002027924426698814+0.0002769524398230854j), np.complex128(0.0020942727388300526+0.00027695243982308536j))",5.421010862427522e-20,-6.634831213123875e-05
251.1,"(np.complex128(0.0020910917309249605+0.00027658002798941435j), np.complex128(0.002024480965703849+0.00027658002798941435j))",0.0,6.661076522111167e-05,"(np.complex128(0.002024480965703849+0.0002765800279894144j), np.complex128(0.0020910917309249605+0.00027658002798941435j))",5.421010862427522e-20,-6.661076522111167e-05
251.2,"(np.complex128(0.002087910723019869+0.0002762076161557433j), np.complex128(0.002021037504708884+0.0002762076161557433j))",0.0,6.687321831098502e-05,"(np.complex128(0.002021037504708884+0.00027620761615574334j), np.complex128(0.002087910723019869+0.0002762076161557433j))",5.421010862427522e-20,-6.687321831098502e-05
251.3,"(np.complex128(0.002084729715114777+0.0002758352043220723j), np.complex128(0.002017594043713919+0.0002758352043220723j))",0.0,6.713567140085794e-05,"(np.complex128(0.002017594043713919+0.00027583520432207233j), np.complex128(0.002084729715114777+0.0002758352043220723j))",5.421010862427522e-20,-6.713567140085794e-05
251.4,"(np.complex128(0.002081548707209685+0.0002754627924884012j), np.complex128(0.0020141505827189535+0.0002754627924884012j))",0.0,6.739812449073129e-05,"(np.complex128(0.0020141505827189535+0.00027546279248840126j), np.complex128(0.002081548707209685+0.0002754627924884012j))",5.421010862427522e-20,-6.739812449073129e-05
251.5,"(np.complex128(0.002078367699304593+0.0002750903806547302j), np.complex128(0.0020107071217239886+0.0002750903806547302j))",0.0,6.766057758060464e-05,"(np.complex128(0.0020107071217239886+0.00027509038065473025j), np.complex128(0.002078367699304593+0.0002750903806547302j))",5.421010862427522e-20,-6.766057758060464e-05
251.6,"(np.complex128(0.002075168783911584+0.00027472812061943807j), np.complex128(0.0020072200052862125+0.00027472812061943807j))",0.0,6.794877862537161e-05,"(np.complex128(0.0020072200052862125+0.0002747281206194381j), np.complex128(0.002075168783911584+0.00027472812061943807j))",5.421010862427522e-20,-6.794877862537161e-05
