expEnergy1_alpha62,expEnergy2_alpha62,expEnergy3_alpha62,expEnergy4_alpha62,expEnergy5_alpha62,fitresults1_alpha62,fitresults2_alpha62,fitresults3_alpha62,fitresults4_alpha62,fitresults5_alpha62
270.19992,270.20102,270.2002,270.1998,270.20248,5061.9155,5061.9155,5061.9155,5061.9155,5061.9155
270.30038,270.30029,270.30035,270.30066,270.29993,5061.146,5061.146,5061.146,5061.146,5061.146
270.40048,270.39804,270.40021,270.40094,270.39966,5058.98,5058.98,5058.98,5058.98,5058.98
270.50085,270.49963,270.50003,270.50043,270.50034,5055.7681,5055.7681,5055.7681,5055.7681,5055.7681
270.60025,270.59976,270.59988,270.59998,270.60019,5051.916,5051.916,5051.916,5051.916,5051.916
270.70023,270.70029,270.70062,270.70023,270.69992,5047.7461,5047.7461,5047.7461,5047.7461,5047.7461
270.79675,270.80054,270.79944,270.80002,270.79974,5043.4492,5043.4492,5043.4492,5043.4492,5043.4492
270.89978,270.8999,270.89856,270.90042,270.89999,5039.1152,5039.1152,5039.1152,5039.1152,5039.1152
271.00046,270.99997,271,271.0007,271.00284,5034.7769,5034.7769,5034.7769,5034.7769,5034.7769
271.10052,271.10028,271.10013,271.10019,271.10022,5030.4429,5030.4429,5030.4429,5030.4429,5030.4429
271.19952,271.20038,271.2001,271.20035,271.20407,5026.1157,5026.1157,5026.1157,5026.1157,5026.1157
271.29559,271.30069,271.3002,271.29678,271.3009,5021.7935,5021.7935,5021.7935,5021.7935,5021.7935
271.4007,271.40018,271.40067,271.40033,271.39999,5017.4736,5017.4736,5017.4736,5017.4736,5017.4736
271.50003,271.50024,271.49896,271.49979,271.49951,5013.1577,5013.1577,5013.1577,5013.1577,5013.1577
271.59778,271.59747,271.60107,271.60101,271.60025,5008.8447,5008.8447,5008.8447,5008.8447,5008.8447
271.69995,271.69678,271.6998,271.70062,271.70032,5004.5366,5004.5366,5004.5366,5004.5366,5004.5366
271.79944,271.80023,271.79636,271.80011,271.79929,5000.2334,5000.2334,5000.2334,5000.2334,5000.2334
271.89951,271.89987,271.89984,271.90054,271.90033,4995.936,4995.936,4995.936,4995.936,4995.936
271.99951,271.99213,272.00015,272.00037,271.99982,4991.645,4991.645,4991.645,4991.645,4991.645
272.09991,272.1004,272.10123,272.09979,272.10043,4987.3608,4987.3608,4987.3608,4987.3608,4987.3608
272.20105,272.20071,272.20038,272.20065,272.19989,4983.085,4983.085,4983.085,4983.085,4983.085
272.30042,272.29874,272.29993,272.29996,272.3006,4978.8174,4978.8174,4978.8174,4978.8174,4978.8174
272.39816,272.39996,272.40002,272.39981,272.40021,4974.5562,4974.5562,4974.5562,4974.5562,4974.5562
272.49985,272.50067,272.50006,272.50067,272.50015,4970.2998,4970.2998,4970.2998,4970.2998,4970.2998
272.5994,272.59967,272.60172,272.60019,272.60028,4966.0493,4966.0493,4966.0493,4966.0493,4966.0493
272.70068,272.70029,272.70047,272.69958,272.70056,4961.8071,4961.8071,4961.8071,4961.8071,4961.8071
272.80112,272.79764,272.79993,272.79959,272.80008,4957.5776,4957.5776,4957.5776,4957.5776,4957.5776
272.89951,272.9007,272.90027,272.90073,272.90082,4953.3594,4953.3594,4953.3594,4953.3594,4953.3594
272.99695,272.99991,272.99588,273.00003,272.99988,4949.1489,4949.1489,4949.1489,4949.1489,4949.1489
273.10031,273.09201,273.09976,273.10022,273.10071,4944.9375,4944.9375,4944.9375,4944.9375,4944.9375
273.19153,273.20294,273.20068,273.19995,273.19958,4940.7207,4940.7207,4940.7207,4940.7207,4940.7207
273.30054,273.30011,273.30334,273.30087,273.2999,4936.4976,4936.4976,4936.4976,4936.4976,4936.4976
273.40067,273.4003,273.39963,273.40085,273.3999,4932.2739,4932.2739,4932.2739,4932.2739,4932.2739
273.50009,273.50027,273.50003,273.50018,273.50037,4928.0576,4928.0576,4928.0576,4928.0576,4928.0576
273.59955,273.60046,273.60291,273.60062,273.60028,4923.8516,4923.8516,4923.8516,4923.8516,4923.8516
273.70074,273.70062,273.70016,273.70081,273.69934,4919.6582,4919.6582,4919.6582,4919.6582,4919.6582
