eV_,xxTotalf0,zzTotalf0
280,5.721725e-16,6.5954273e-16
280.02001001,5.9071326e-16,6.8224819e-16
280.04002001,6.0985001e-16,7.0572376e-16
280.06003002,6.2960165e-16,7.2999549e-16
280.08004002,6.4998688e-16,7.5508911e-16
280.10005003,6.7102633e-16,7.810315e-16
280.12006003,6.927415e-16,8.078518e-16
280.14007004,7.1515309e-16,8.355791e-16
280.16008004,7.3828318e-16,8.6424291e-16
280.18009005,7.621558e-16,8.9387609e-16
280.20010005,7.8679329e-16,9.2450883e-16
280.22011006,8.1222032e-16,9.5617621e-16
280.24012006,8.3846261e-16,9.8891044e-16
280.26013007,8.6554543e-16,1.0227489e-15
280.28014007,8.9349525e-16,1.0577274e-15
280.30015008,9.2234169e-16,1.0938835e-15
280.32016008,9.521095e-16,1.1312562e-15
280.34017009,9.8283213e-16,1.169887e-15
280.36018009,1.0145365e-15,1.2098165e-15
280.3801901,1.0472558e-15,1.2510866e-15
280.4002001,1.0810224e-15,1.2937429e-15
280.42021011,1.1158678e-15,1.3378324e-15
280.44022011,1.1518284e-15,1.3834004e-15
280.46023012,1.1889383e-15,1.4304966e-15
280.48024012,1.2272347e-15,1.4791707e-15
280.50025013,1.2667537e-15,1.5294765e-15
280.52026013,1.3075373e-15,1.581466e-15
280.54027014,1.3496204e-15,1.6351949e-15
280.56028014,1.3930502e-15,1.6907203e-15
280.58029015,1.4378652e-15,1.7481026e-15
280.60030015,1.4841118e-15,1.8074017e-15
280.62031016,1.5318334e-15,1.8686803e-15
280.64032016,1.5810786e-15,1.9320061e-15
280.66033017,1.6318936e-15,1.997443e-15
280.68034017,1.6843308e-15,2.065061e-15
280.70035018,1.7384394e-15,2.1349336e-15
280.72036018,1.7942729e-15,2.2071339e-15
280.74037019,1.8518887e-15,2.2817359e-15
280.76038019,1.911336e-15,2.3588222e-15
280.7803902,1.9726809e-15,2.4384717e-15
280.8004002,2.0359801e-15,2.5207662e-15
280.82041021,2.101296e-15,2.6057946e-15
280.84042021,2.1686928e-15,2.6936465e-15
280.86043022,2.2382354e-15,2.7844163e-15
280.88044022,2.3099916e-15,2.8781942e-15
280.90045023,2.3840331e-15,2.9750813e-15
280.92046023,2.46043e-15,3.0751798e-15
280.94047024,2.539258e-15,3.1785917e-15
280.96048024,2.6205933e-15,3.2854269e-15
280.98049025,2.7045148e-15,3.3957993e-15
281.00050025,2.7911074e-15,3.5098172e-15
281.02051026,2.8804533e-15,3.6276024e-15
281.04052026,2.9726418e-15,3.7492774e-15
281.06053027,3.06776e-15,3.874975e-15
281.08054027,3.1658998e-15,4.0048145e-15
281.10055028,3.2671579e-15,4.1389376e-15
281.12056028,3.371636e-15,4.2774855e-15
281.14057029,3.4794303e-15,4.4205938e-15
281.16058029,3.5906523e-15,4.5684142e-15
281.1805903,3.7054053e-15,4.7210999e-15
281.2006003,3.8238006e-15,4.8788086e-15
281.22061031,3.9459585e-15,5.0417019e-15
281.24062031,4.0719898e-15,5.2099468e-15
281.26063032,4.2020288e-15,5.3837202e-15
281.28064032,4.3361933e-15,5.5631955e-15
281.30065033,4.4746167e-15,5.7485581e-15
281.32066033,4.6174256e-15,5.9400053e-15
281.34067034,4.7647708e-15,6.1377236e-15
281.36068034,4.9167929e-15,6.3419178e-15
281.38069035,5.0736312e-15,6.5528006e-15
281.40070035,5.2354463e-15,6.7705872e-15
281.42071036,5.4023914e-15,6.9954918e-15
281.44072036,5.57463e-15,7.2277432e-15
281.46073037,5.7523299e-15,7.4675898e-15
281.48074037,5.9356685e-15,7.7152741e-15
281.50075038,6.124808e-15,7.9710391e-15
281.52076038,6.3199453e-15,8.235155e-15
281.54077039,6.5212719e-15,8.5078759e-15
281.56078039,6.7289716e-15,8.789494e-15
281.5807904,6.9432544e-15,9.0802787e-15
281.6008004,7.1643258e-15,9.3805299e-15
281.62081041,7.392403e-15,9.6905584e-15
281.64082041,7.6277062e-15,1.0010666e-14
281.66083042,7.8704531e-15,1.0341186e-14
281.68084042,8.1209038e-15,1.0682442e-14
281.70085043,8.3792641e-15,1.1034784e-14
281.72086043,8.6458262e-15,1.1398566e-14
281.74087044,8.9208214e-15,1.1774158e-14
281.76088044,9.2045224e-15,1.2161921e-14
281.78089045,9.497207e-15,1.2562267e-14
281.80090045,9.799159e-15,1.2975583e-14
281.82091046,1.011067e-14,1.3402288e-14
281.84092046,1.0432023e-14,1.3842824e-14
281.86093047,1.0763564e-14,1.4297657e-14
281.88094047,1.1105606e-14,1.4767316e-14
281.90095048,1.1458464e-14,1.5252388e-14
281.92096048,1.182248e-14,1.5753669e-14
281.94097049,1.2198029e-14,1.627225e-14
281.96098049,1.2585453e-14,1.6809994e-14
281.9809905,1.2985145e-14,1.7370274e-14
282.0010005,1.3397476e-14,1.7959536e-14
282.02101051,1.3822858e-14,1.8590703e-14
282.04102051,1.426169e-14,1.9289683e-14
282.06103052,1.4714433e-14,2.0108793e-14
282.08104052,1.5181468e-14,2.1153061e-14
282.10105053,1.5663298e-14,2.2632153e-14
282.12106053,1.6160389e-14,2.4961102e-14
282.14107054,1.6673191e-14,2.8954547e-14
282.16108054,1.7202221e-14,3.6197235e-14
282.18109055,1.7748032e-14,4.9743792e-14
282.20110055,1.8311094e-14,7.5427484e-14
282.22111056,1.889202e-14,1.2428481e-13
282.24112056,1.9491414e-14,2.1700189e-13
282.26113057,2.0109895e-14,3.919876e-13
282.28114057,2.0748228e-14,7.1989029e-13
282.30115058,2.1407216e-14,1.3294382e-12
282.32116058,2.2087944e-14,2.4529771e-12
282.34117059,2.2791791e-14,4.5059186e-12
282.36118059,2.3520712e-14,8.2239614e-12
282.3811906,2.4277726e-14,1.4897743e-11
282.4012006,2.5067466e-14,2.6769812e-11
282.42121061,2.5897489e-14,4.7699858e-11
282.44122061,2.6780134e-14,8.4267412e-11
282.46123062,2.7735741e-14,1.4758146e-10
282.48124062,2.8797795e-14,2.5621927e-10
282.50125063,3.0021199e-14,4.4094819e-10
282.52126063,3.1495538e-14,7.5223527e-10
282.54127064,3.3365665e-14,1.2720612e-09
282.56128064,3.5864124e-14,2.1323117e-09
282.58129065,3.9360639e-14,3.5430963e-09
282.60130065,4.44377e-14,5.8358833e-09
282.62131066,5.2004692e-14,9.528498e-09
282.64132066,6.3466756e-14,1.5421955e-08
282.66133067,8.097572e-14,2.4743141e-08
282.68134067,1.0779207e-13,3.9352695e-08
282.70135068,1.4880995e-13,6.2044371e-08
282.72136068,2.1130092e-13,9.6971156e-08
282.74137069,3.0596321e-13,1.5024493e-07
282.76138069,4.4837468e-13,2.3076988e-07
282.7813907,6.609947e-13,3.5138686e-07
