eV_,Total_Specf0
280,1.8039606e-15
280.02001001,1.8637535e-15
280.04002001,1.925503e-15
280.06003002,1.9892791e-15
280.08004002,2.0551461e-15
280.10005003,2.1231717e-15
280.12006003,2.1934246e-15
280.14007004,2.2659762e-15
280.16008004,2.3409058e-15
280.18009005,2.4182837e-15
280.20010005,2.4981977e-15
280.22011006,2.5807228e-15
280.24012006,2.6659428e-15
280.26013007,2.7539512e-15
280.28014007,2.8448351e-15
280.30015008,2.9386849e-15
280.32016008,3.0356001e-15
280.34017009,3.1356787e-15
280.36018009,3.2390224e-15
280.3801901,3.345734e-15
280.4002001,3.4559294e-15
280.42021011,3.5697141e-15
280.44022011,3.6872081e-15
280.46023012,3.8085291e-15
280.48024012,3.9337993e-15
280.50025013,4.0631489e-15
280.52026013,4.1967077e-15
280.54027014,4.3346128e-15
280.56028014,4.4770015e-15
280.58029015,4.6240198e-15
280.60030015,4.7758187e-15
280.62031016,4.9325515e-15
280.64032016,5.0943708e-15
280.66033017,5.2614443e-15
280.68034017,5.433948e-15
280.70035018,5.6120405e-15
280.72036018,5.7959204e-15
280.74037019,5.9857591e-15
280.76038019,6.1817519e-15
280.7803902,6.3840979e-15
280.8004002,6.593e-15
280.82041021,6.8086736e-15
280.84042021,7.0313264e-15
280.86043022,7.2611882e-15
280.88044022,7.4984888e-15
280.90045023,7.74346e-15
280.92046023,7.9963646e-15
280.94047024,8.2574464e-15
280.96048024,8.5269587e-15
280.98049025,8.8051895e-15
281.00050025,9.0923964e-15
281.02051026,9.388896e-15
281.04052026,9.6949578e-15
281.06053027,1.0010904e-14
281.08054027,1.0337044e-14
281.10055028,1.0673693e-14
281.12056028,1.1021215e-14
281.14057029,1.1379932e-14
281.16058029,1.1750204e-14
281.1805903,1.2132416e-14
281.2006003,1.2526932e-14
281.22061031,1.2934158e-14
281.24062031,1.335449e-14
281.26063032,1.3788357e-14
281.28064032,1.4236178e-14
281.30065033,1.4698403e-14
281.32066033,1.5175485e-14
281.34067034,1.5667919e-14
281.36068034,1.6176166e-14
281.38069035,1.6700749e-14
281.40070035,1.7242194e-14
281.42071036,1.7800995e-14
281.44072036,1.8377749e-14
281.46073037,1.8973033e-14
281.48074037,1.9587418e-14
281.50075038,2.0221494e-14
281.52076038,2.0875899e-14
281.54077039,2.1551302e-14
281.56078039,2.2248377e-14
281.5807904,2.2967742e-14
281.6008004,2.3710167e-14
281.62081041,2.4476394e-14
281.64082041,2.5267135e-14
281.66083042,2.6083207e-14
281.68084042,2.6925358e-14
281.70085043,2.7794505e-14
281.72086043,2.8691449e-14
281.74087044,2.9617052e-14
281.76088044,3.0572279e-14
281.78089045,3.1558001e-14
281.80090045,3.2575251e-14
281.82091046,3.3625016e-14
281.84092046,3.4708303e-14
281.86093047,3.5826302e-14
281.88094047,3.6980056e-14
281.90095048,3.8170923e-14
281.92096048,3.9400297e-14
281.94097049,4.0670006e-14
281.96098049,4.1982643e-14
281.9809905,4.3342327e-14
282.0010005,4.4756391e-14
282.02101051,4.6238356e-14
282.04102051,4.7815054e-14
282.06103052,4.9539752e-14
282.08104052,5.1518177e-14
282.10105053,5.396101e-14
282.12106053,5.7284174e-14
282.14107054,6.2303373e-14
282.16108054,7.0604269e-14
282.18109055,8.5242685e-14
282.20110055,1.1205284e-13
282.22111056,1.6207276e-13
282.24112056,2.5598957e-13
282.26113057,4.3221427e-13
282.28114057,7.6139783e-13
282.30115058,1.3722691e-12
282.32116058,2.4971795e-12
282.34117059,4.5515514e-12
282.36118059,8.2710861e-12
282.3811906,1.4946405e-11
282.4012006,2.6820164e-11
282.42121061,4.7752045e-11
282.44122061,8.4321564e-11
282.46123062,1.4763778e-10
282.48124062,2.5627853e-10
282.50125063,4.4101117e-10
282.52126063,7.5230217e-10
282.54127064,1.2721335e-09
282.56128064,2.1323929e-09
282.58129065,3.5431913e-09
282.60130065,5.8359935e-09
282.62131066,9.528633e-09
282.64132066,1.5422115e-08
282.66133067,2.4743368e-08
282.68134067,3.9353004e-08
282.70135068,6.2044784e-08
282.72136068,9.6971746e-08
282.74137069,1.5024575e-07
282.76138069,2.3077098e-07
282.7813907,3.5138837e-07
282.8014007,5.3042794e-07
282.82141071,7.9378736e-07
282.84142071,1.1776798e-06
282.86143072,1.7322162e-06
282.88144072,2.5260172e-06
282.90145073,3.6520546e-06
282.92146073,5.2349592e-06
282.94147074,7.4400004e-06
282.96148074,1.0483965e-05
282.98149075,1.464808e-05
283.00150075,2.0293111e-05
283.02151076,2.7876644e-05
283.04152076,3.797235e-05
283.06153077,5.1291063e-05
283.08154077,6.8703041e-05
283.10155078,9.1260619e-05
283.12156078,0.00012022039
283.14157079,0.0001570633
283.16158079,0.00020351115
283.1815908,0.00026153788
283.2016008,0.00033337279
283.22161081,0.00042149439
283.24162081,0.00052861217
283.26163082,0.0006576337
283.28164082,0.00081161648
283.30165083,0.00099370244
283.32166083,0.0012070339
283.34167084,0.0014546529
283.36168084,0.0017393843
283.38169085,0.0020637019
283.40170085,0.0024295901
283.42171086,0.002838393
283.44172086,0.0032906681
283.46173087,0.0037860428
283.48174087,0.0043230918
283.50175088,0.0048992219
283.52176088,0.0055106087
283.54177089,0.006152139
283.56178089,0.0068174284
283.5817909,0.0074988571
283.6018009,0.0081876786
283.62181091,0.0088741621
283.64182091,0.0095478063
283.66183092,0.010197576
283.68184092,0.010812204
283.70185093,0.011380509
283.72186093,0.011891745
283.74187094,0.012335961
283.76188094,0.012704363
283.78189095,0.012989654
283.80190095,0.013186346
283.82191096,0.013291042
283.84192096,0.013302649
283.86193097,0.013222547
283.88194097,0.013054677
283.90195098,0.012805553
283.92196098,0.012484227
283.94197099,0.012102151
283.96198099,0.011672986
283.981991,0.011212345
284.002001,0.010737501
284.02201101,0.010267015
284.04202101,0.009820357
284.06203102,0.0094174892
284.08204102,0.0090784207
284.10205103,0.0088227494
284.12206103,0.0086692069
284.14207104,0.0086351736
284.16208104,0.0087362211
284.18209105,0.0089856321
284.20210105,0.0093939649
284.22211106,0.0099686068
284.24212106,0.010713391
284.26213107,0.011628251
284.28214107,0.012708939
284.30215108,0.013946838
284.32216108,0.015328893
284.34217109,0.016837632
284.36218109,0.018451393
284.3821911,0.020144626
284.4022011,0.021888424
284.42221111,0.023651194
284.44222111,0.025399441
284.46223112,0.02709874
284.48224112,0.02871475
284.50225113,0.030214345
284.52226113,0.031566691
284.54227114,0.032744348
284.56228114,0.033724312
284.58229115,0.034488816
284.60230115,0.035026144
284.62231116,0.035331026
284.64232116,0.035404962
284.66233117,0.035256203
284.68234117,0.034899525
284.70235118,0.034355659
284.72236118,0.033650629
284.74237119,0.0328147
284.76238119,0.031881347
284.7823912,0.030885894
284.8024012,0.029864281
284.82241121,0.028851641
284.84242121,0.027881006
284.86243122,0.026982078
284.88244122,0.026180131
284.90245123,0.025495086
284.92246123,0.024940854
284.94247124,0.024524869
284.96248124,0.024247941
284.98249125,0.024104347
285.00250125,0.024082227
285.02251126,0.024164215
285.04252126,0.024328271
285.06253127,0.024548771
285.08254127,0.024797658
285.10255128,0.025045693
285.12256128,0.025263784
285.14257129,0.025424197
285.16258129,0.025501732
285.1825913,0.025474707
285.2026013,0.025325824
285.22261131,0.025042698
285.24262131,0.024618275
285.26263132,0.024050869
285.28264132,0.023344086
285.30265133,0.022506393
285.32266133,0.021550592
285.34267134,0.020493096
285.36268134,0.019353103
285.38269135,0.018151673
285.40270135,0.016910879
285.42271136,0.015652876
285.44272136,0.014399126
285.46273137,0.013169687
285.48274137,0.011982636
285.50275138,0.010853639
285.52276138,0.0097956564
285.54277139,0.0088188089
285.56278139,0.0079303766
285.5827914,0.0071349139
285.6028014,0.006434476
285.62281141,0.0058289184
285.64282141,0.0053162551
285.66283142,0.0048930505
285.68284142,0.0045548263
285.70285143,0.0042964416
285.72286143,0.0041124611
285.74287144,0.0039974735
285.76288144,0.0039463439
285.78289145,0.0039544096
285.80290145,0.0040176059
285.82291146,0.004132512
285.84292146,0.0042963349
285.86293147,0.0045068199
285.88294147,0.0047621112
285.90295148,0.0050605638
285.92296148,0.0054005296
285.94297149,0.005780125
285.96298149,0.0061970069
285.9829915,0.0066481642
286.0030015,0.0071297637
286.02301151,0.0076370304
286.04302151,0.0081642205
286.06303152,0.0087046493
286.08304152,0.0092508188
286.10305153,0.0097946096
286.12306153,0.010327568
286.14307154,0.010841211
286.16308154,0.011327427
286.18309155,0.011778841
286.20310155,0.012189202
286.22311156,0.012553733
286.24312156,0.012869396
286.26313157,0.013135114
286.28314157,0.013351849
286.30315158,0.013522591
286.32316158,0.013652221
286.34317159,0.013747247
286.36318159,0.013815464
286.3831916,0.013865503
286.4032016,0.013906334
286.42321161,0.013946738
286.44322161,0.013994781
286.46323162,0.014057348
286.48324162,0.014139712
286.50325163,0.014245219
286.52326163,0.014375088
286.54327164,0.014528348
286.56328164,0.01470188
286.58329165,0.014890634
286.60330165,0.015087895
286.62331166,0.015285717
286.64332166,0.015475371
286.66333167,0.015647853
286.68334167,0.01579438
286.70335168,0.015906878
286.72336168,0.015978394
286.74337169,0.016003452
286.76338169,0.015978241
286.7833917,0.015900822
286.8034017,0.015771063
286.82341171,0.015590607
286.84342171,0.015362649
286.86343172,0.015091702
286.88344172,0.014783263
286.90345173,0.014443488
286.92346173,0.014078847
286.94347174,0.013695793
286.96348174,0.013300497
286.98349175,0.012898625
287.00350175,0.012495177
287.02351176,0.012094418
287.04352176,0.011699845
287.06353177,0.011314255
287.08354177,0.010939834
287.10355178,0.01057828
287.12356178,0.010230943
287.14357179,0.009898995
287.16358179,0.0095835561
287.1835918,0.009285789
287.2036018,0.0090069808
287.22361181,0.0087485677
287.24362181,0.0085121347
287.26363182,0.0082993302
287.28364182,0.0081118047
287.30365183,0.0079510771
287.32366183,0.0078184111
287.34367184,0.0077146599
287.36368184,0.0076401634
287.38369185,0.0075945999
287.40370185,0.0075769294
287.42371186,0.0075853304
287.44372186,0.0076171928
287.46373187,0.0076691541
287.48374187,0.0077371602
287.50375188,0.0078166034
287.52376188,0.007902462
287.54377189,0.0079894597
287.56378189,0.0080722934
287.5837919,0.008145825
287.6038019,0.008205276
287.62381191,0.0082464498
287.64382191,0.0082658762
287.66383192,0.0082610035
287.68384192,0.0082303043
287.70385193,0.0081733596
287.72386193,0.0080909552
287.74387194,0.0079850359
287.76388194,0.0078587364
287.78389195,0.0077163209
287.80390195,0.0075630997
287.82391196,0.0074053109
287.84392196,0.0072499947
287.86393197,0.0071048383
287.88394197,0.0069779805
287.90395198,0.0068778316
287.92396198,0.0068128449
287.94397199,0.006791289
287.96398199,0.0068209851
287.983992,0.0069090934
288.004002,0.0070617837
288.02401201,0.0072840163
288.04402201,0.0075792689
288.06403202,0.0079492871
288.08404202,0.0083938958
288.10405203,0.0089107789
288.12406203,0.0094954269
288.14407204,0.010141057
288.16408204,0.010838677
288.18409205,0.011577208
288.20410205,0.012343693
288.22411206,0.013123712
288.24412206,0.013901661
288.26413207,0.014661416
288.28414207,0.015386753
288.30415208,0.016061964
288.32416208,0.016672669
288.34417209,0.017206004
288.36418209,0.017651511
288.3841921,0.018001406
288.4042021,0.018250953
288.42421211,0.018398639
288.44422211,0.018446317
288.46423212,0.018399086
288.48424212,0.018265005
288.50425213,0.018054843
288.52426213,0.017781569
288.54427214,0.01745978
288.56428214,0.017105151
288.58429215,0.016733743
288.60430215,0.01636146
288.62431216,0.016003389
288.64432216,0.015673319
288.66433217,0.015383316
288.68434217,0.015143241
288.70435218,0.014960726
288.72436218,0.014840846
288.74437219,0.014786193
288.76438219,0.014796866
288.7843922,0.014870645
288.8044022,0.015003205
288.82441221,0.015188356
288.84442221,0.015418384
288.86443222,0.015684301
288.88444222,0.015976435
288.90445223,0.016284423
288.92446223,0.016597835
288.94447224,0.016906327
288.96448224,0.01720011
288.98449225,0.017470079
289.00450225,0.017708044
289.02451226,0.017907079
289.04452226,0.018061502
289.06453227,0.018167026
289.08454227,0.018220948
289.10455228,0.018221935
289.12456228,0.018170176
289.14457229,0.018067267
289.16458229,0.017916052
