Energy (eV),Reduced Chi^2,Number of Parameters,Number of Data Points,AIC,BIC
0.0,15.505725438568378,101,2766,14210.605059223524,14809.04596795822
250.0,5.370453066622275,21,259,95.09992455527072,169.793313850961
275.0,11.749064509399226,21,110,296.7139887866791,353.42407646831987
280.0,7.263034629669823,21,111,98.28736387122083,155.18749809877983
281.0,6.236207632897574,21,112,52.724596506405334,109.81307280360231
281.2,5.82907757256428,21,112,34.165640783771366,91.25411708096834
281.4,5.55689424744709,21,111,21.440800740220382,78.34093496777939
281.6,3.0165206609360005,21,107,-89.3081812245801,-33.17877570088008
281.8,2.6305613170392435,21,110,-109.33261540528892,-52.622527723648176
282.0,2.8815687378865786,21,109,-97.13868591020699,-40.62038038339497
282.3,2.9090500588837873,21,109,-95.93786232812221,-39.41955680131019
282.5,3.2793122166505984,21,107,-78.02079893176638,-21.891393408066364
282.7,3.086429570336822,21,130,-106.87159871394633,-46.6533752543791
282.9,3.982533411332332,21,131,-58.41906414281412,1.960079644410058
283.1,3.2138115384640886,21,131,-100.77724724438824,-40.398103457164055
283.3,2.1537424036806354,21,131,-159.11419197272798,-98.7350481855038
283.5,3.916454489034277,21,131,-62.20285753306652,-1.8237137458423405
283.7,11.360421401939517,21,296,926.8992116664419,1004.3967602072472
284.2,58.44396894010058,21,115,2508.768606245802,2566.41218094143
285.1,76.70125925524684,21,115,3367.0234934444907,3424.6670681401188
287.0,158.45225308709942,21,119,7517.555257060632,7575.916850415974
289.0,25.9575794030908,21,110,929.0492789694961,985.7593666511368
