Energy (eV),Reduced Chi^2,Number of Parameters,Number of Data Points,AIC,BIC
0.0,7.493068928578301,101,2766,225.81768460236995,824.2585933370649
250.0,5.370453066622275,21,259,42.20501901372691,116.89840830941719
275.0,4.622514140568216,21,110,41.434826902785495,98.14491458442625
280.0,4.296636763217347,21,111,41.30963564923652,98.20976987679553
281.0,4.355746692980959,21,112,41.33506085987405,98.42353715707102
281.2,4.629615001268139,21,112,41.447527771766616,98.53600406896359
281.4,4.246618679361661,21,111,41.286814158866626,98.18694838642563
281.6,4.500033539809184,21,107,41.36907430755373,97.49847983125375
281.8,4.654438167348962,21,110,41.4434662721267,98.15355395376744
282.0,5.418329803338209,21,109,41.74702501899104,98.26533054580305
282.3,5.153201923060807,21,109,41.64061049501987,98.15891602183189
282.5,5.544441507536594,21,107,41.78825806063827,97.91766358433829
282.7,5.016624361163112,21,130,41.66360364205309,101.88182710162032
282.9,4.678135760626953,21,131,41.524855743843304,101.90399953106748
283.1,5.277181221581447,21,131,41.77648614235686,102.15562992958104
283.3,4.801166368883545,21,131,41.575908021416524,101.9550518086407
283.5,8.164420658403024,21,131,42.987808147982136,103.36695193520632
283.7,11.360421401939517,21,296,44.98952436373798,122.48707290454325
284.2,23.96352137386032,21,115,49.360403830301,107.00397852592927
285.1,18.52969376554849,21,115,47.13719847378965,104.78077316941791
287.0,26.22944501241987,21,119,50.376966198802094,108.73855955414422
289.0,19.40962183292864,21,110,47.417611527501485,104.12769920914224
