Energy (eV),Reduced Chi^2,Number of Parameters,Number of Data Points,AIC,BIC
0.0,6.521234442065978,327,2766,2820.407353265782,4757.9338597632595
250.0,22.62197674283553,10,259,3762.5508850117285,3798.1191656287237
275.0,7.309494687728863,16,110,158.18224826399637,201.38993411667502
280.0,4.214844459952192,16,111,-86.71482847737734,-43.362345256379996
281.0,4.555053299776951,16,112,-59.84633921844551,-16.350357277724
281.2,3.8557682244550064,16,112,-116.27720734869689,-72.78122540797538
281.4,3.3539284316625175,16,111,-155.4516889461758,-112.09920572517846
281.6,0.5654216550468041,16,107,-363.527194894101,-320.7619335427105
281.8,1.2771440512856598,16,110,-318.19482062118806,-274.9871347685094
282.0,0.6366019653656241,16,109,-365.2108563403586,-322.1492902246923
282.3,1.3390857806794352,15,109,-311.2099808141058,-270.83976258066866
282.5,0.9982190394283702,15,107,-331.59375564770704,-291.5013231307785
282.7,0.9095756756431961,15,130,-415.17540076694166,-372.1623840101079
282.9,0.2969363311201432,16,131,-476.4408514100264,-430.43769423880804
283.1,0.5283518830802718,16,131,-454.1239194628327,-408.12076229161426
283.3,4.000212558367539,16,131,-118.6594564683268,-72.65629929710838
283.5,3.0551535190126278,16,131,-210.01220751165326,-164.00905034043484
283.7,1.051202654538886,16,296,-860.7206008462825,-801.6748495770976
284.2,16.16097549114193,16,115,904.4718700596261,948.3907841134381
285.1,21.35191455168065,16,115,1336.186087381789,1380.105001435601
287.0,19.06701661476561,16,119,1193.9423891526499,1238.4083650424343
289.0,6.6759859497275436,16,110,108.2329821702116,151.44066802289026
