Energy (eV),Reduced Chi^2,Number of Parameters,Number of Data Points,AIC,BIC
0.0,2.7064789836528287,327,2766,599.5528522858566,2537.0793587833346
250.0,15.500404929868665,10,259,28.6987477742599,64.26702839125528
275.0,0.27991467709684803,16,110,28.1010406919945,71.30872654467316
280.0,0.28195260261363425,16,111,28.102329030192926,71.45481225119028
281.0,0.2788249790869998,16,112,28.100751743659636,71.59673368438114
281.2,0.14540823298871622,16,112,28.0050659652819,71.50104790600341
281.4,0.33644005038976876,16,111,28.14169261329528,71.49417583429262
281.6,0.23188031989361102,16,107,28.06626343025188,70.83152478164237
281.8,0.23295542709108016,16,110,28.067106643811734,71.2747924964904
282.0,0.31664680589979693,16,109,28.126623543193006,71.1881896588593
282.3,0.2914496521947389,15,109,26.111277802041855,66.48149603547901
282.5,0.34822987651881254,15,107,26.151544668791434,66.24397718572001
282.7,0.2576728416158198,15,130,26.091387471038566,69.1044042278723
282.9,0.2969363311201432,16,131,28.11877212664102,74.12192929785944
283.1,0.2957696090269506,16,131,28.117619781488465,74.12077695270688
283.3,0.4121065848987435,16,131,28.20407538590713,74.20723255712555
283.5,0.7930555513987403,16,131,28.484602599671696,74.48775977089011
283.7,1.051202654538886,16,296,28.984052024167966,88.02980329335293
284.2,3.5106862334448046,16,115,30.439319401357107,74.35823345516911
285.1,11.277449635968292,16,115,36.05851993114109,79.9774339849531
287.0,2.616952119047624,16,119,29.80457146158329,74.27054735136777
289.0,2.3355296512449235,16,110,29.577488196086204,72.78517404876487
