Beamline Energy,20 deg,40 deg,55 deg,70 deg,90 deg
269.9979736,0.027745627,0.022804208,0.03976383,0.036375704,0.074818105
270.9950492,0.005085939,0.009764704,0.023535344,0.014884095,0.049267605
272.0129292,0.008598013,0.005768499,0.019690583,0.016241479,0.049445176
272.9956921,0.015199374,0.016634845,0.025084131,0.014819507,0.033555446
274.0037285,0.023977551,0.028464529,0.013544478,0.024076236,0.027751693
275.0055248,0.010250698,0.003979013,0.012963436,0.006031892,0.00125459
275.9985604,-0.001361702,0.000147766,-0.010223215,-0.010131503,-0.011007608
277.0103854,-0.011928619,-0.014930425,-0.013909498,-0.016703779,-0.030187275
278.0063014,-0.022272135,-0.022023669,-0.029964021,-0.025623026,-0.046571611
279.0164604,-0.026419458,-0.025136649,-0.034706515,-0.029762582,-0.068246182
279.9960805,-0.028875289,-0.025472822,-0.045778552,-0.030208024,-0.080079938
280.9969171,-0.037243522,-0.036378809,-0.050365419,-0.043709709,-0.093705137
282.0049337,-0.039293671,-0.041245891,-0.065500613,-0.051519962,-0.131355515
283.0105272,-0.034168655,-0.03729479,-0.05570443,-0.050487446,-0.122600603
283.1025206,-0.029315138,-0.034528263,-0.06050108,-0.050840182,-0.134674211
283.1994205,-0.026726264,-0.034671132,-0.050257249,-0.042066725,-0.152753823
283.3012367,-0.018321794,-0.026377271,-0.046484278,-0.042046307,-0.147748606
283.4006994,-0.016118611,-0.026744409,-0.053652941,-0.043813118,-0.169616051
283.5026604,-0.012866017,-0.04027123,-0.058846561,-0.043885674,-0.172367675
283.592544,0.000410049,-0.015674266,-0.062048268,-0.047349601,-0.178575831
283.6946432,0.015112111,-0.017530568,-0.048259,-0.071446607,-0.21980318
283.7992494,0.019718034,-0.017590089,-0.061714829,-0.057792354,-0.246813851
283.8990621,0.03152519,-0.013706619,-0.060503135,-0.07394733,-0.241864421
284.0038192,0.032362997,-0.023068821,-0.087033009,-0.092621152,-0.264780543
284.0964596,0.055959376,-0.028745539,-0.096153168,-0.119044937,-0.278967609
284.1964815,0.080343499,-0.00174278,-0.073968759,-0.124890233,-0.347143674
284.299016,0.131389495,0.02064623,-0.080268334,-0.099623769,-0.274111727
284.4016245,0.135970293,0.015970378,-0.056367913,-0.145326034,-0.292675538
284.4994158,0.230035765,0.078234636,-0.021510749,-0.106872965,-0.343832851
284.5972743,0.314165679,0.15971021,0.01991315,0.021380008,-0.172251269
284.6976492,0.39020028,0.272436361,0.162788987,0.094210225,-0.03721096
284.8005457,0.510341643,0.336867567,0.306277571,0.10643079,-0.043798682
284.8986115,0.541893662,0.361165885,0.351616315,0.273312325,0.131898991
284.9991991,0.566401646,0.44710113,0.371692163,0.298611626,0.126693744
285.1023137,0.552852237,0.458323543,0.40127797,0.33845676,0.178994918
285.2005875,0.529124903,0.444745172,0.33442173,0.327466083,0.160727847
285.298929,0.47558262,0.361294725,0.357549733,0.278284708,0.066540382
285.4047218,0.408375837,0.313955479,0.285724022,0.268936849,0.08368494
285.4982785,0.333479956,0.280112024,0.226910535,0.208258341,0.000296645
285.6017546,0.276200069,0.215204843,0.176402683,0.154586151,-0.089702477
285.7028393,0.231168365,0.202502359,0.134883139,0.137606199,-0.075914103
285.7990595,0.208566772,0.163921793,0.118422914,0.098473651,-0.099068444
285.8953446,0.194340536,0.133591902,0.107589135,0.087190194,-0.135983743
286.0015802,0.221367093,0.186574452,0.137255136,0.122122796,-0.074546245
286.100475,0.241212028,0.188216189,0.15713893,0.149560688,-0.059467232
286.2019131,0.270952237,0.248137405,0.193045151,0.187225936,-0.024754847
286.3009464,0.313504395,0.281115716,0.246123719,0.212300432,0.02943173
286.39757,0.374738357,0.346819987,0.300126963,0.293251374,0.086643412
286.4992189,0.447180896,0.417905817,0.373330149,0.341258792,0.13202195
286.5984581,0.567259175,0.54344775,0.512443139,0.47779921,0.269829526
286.7002497,0.650010949,0.606638681,0.602203024,0.585200006,0.367443142
286.7996283,0.734166837,0.730509568,0.70825682,0.680782,0.454523409
286.8990758,0.849580829,0.828761563,0.819143615,0.797716143,0.555682261
286.9985922,0.977107252,0.95503112,0.946335492,0.935265966,0.649812936
287.1006683,1.107444387,1.102905512,1.105290868,1.066591321,0.807658531
287.2003247,1.249531624,1.251277787,1.255892239,1.213448506,0.917752315
287.3000502,1.389176859,1.403984977,1.403189089,1.374340397,1.056079491
287.3998451,1.550889354,1.542127641,1.573375438,1.497791003,1.197875657
287.5047043,1.689452556,1.722655481,1.732220961,1.694817325,1.322079313
287.5971437,1.867087878,1.898207307,1.922203405,1.874665731,1.489985327
287.6996461,2.058315411,2.097626209,2.143364613,2.076927644,1.696380515
287.8022214,2.288845512,2.345752433,2.359672882,2.328691991,1.896905849
287.9023655,2.622003496,2.691534889,2.768568836,2.692561557,2.241157459
288.0075918,2.996133146,3.074768446,3.181280932,3.111489144,2.633680959
288.097847,3.550053579,3.68754072,3.862172567,3.743771172,3.229128615
288.1956873,4.224985983,4.410444053,4.614988014,4.544423557,3.91583907
288.2935941,4.671907002,4.924300552,5.128756548,5.031920615,4.318022211
288.3965935,4.856329504,5.033034751,5.281273086,5.191830754,4.432562297
288.5046963,4.803463496,4.989742479,5.219009565,5.097935782,4.342584981
288.6002965,4.648408906,4.825106695,5.019773093,4.893254933,4.190393165
288.7009968,4.556618429,4.65638373,4.814826932,4.721390244,3.978394175
288.8017674,4.350788618,4.4745651,4.62613341,4.516323072,3.812096356
288.9026083,4.256892599,4.3598863,4.507061708,4.387190962,3.686178353
289.0009961,4.177797545,4.276833471,4.389637644,4.251387773,3.647996645
289.1070271,4.093277439,4.181957194,4.314669936,4.192731642,3.560448318
289.1979727,4.096831547,4.156732625,4.288265929,4.167520044,3.505032631
289.3041483,4.126084236,4.183516839,4.269563618,4.15036235,3.554651362
289.395218,4.177335391,4.215795153,4.387758706,4.244407033,3.611150899
289.4990061,4.231202158,4.322039035,4.389844714,4.307497836,3.632254472
289.6028687,4.256294121,4.325895813,4.461037141,4.316229455,3.641660426
