Beamline Energy,20 deg,40 deg,55 deg,70 deg,90 deg
269.9979736,0.020788686,0.026425311,0.028005706,0.036889829,0.064305537
270.9950492,0.008362229,0.01481564,0.01897966,0.019086176,0.039817786
272.0129292,0.008344123,0.012343422,0.01603621,0.016688413,0.028387115
272.9956921,0.009929953,0.009743528,0.009357511,0.012468825,0.017793145
274.0037285,0.008881303,0.009243047,0.012028654,0.006027627,0.010229007
275.0055248,0.002521153,0.000751264,0.002037729,0.002377726,-0.002521435
275.9985604,-0.004592686,-0.008546621,-0.00449391,-0.009363102,-0.013644834
277.0103854,-0.009634303,-0.011146813,-0.015832858,-0.013584893,-0.023390631
278.0063014,-0.013109418,-0.01407565,-0.016938208,-0.018118406,-0.031641564
279.0164604,-0.013793164,-0.016743591,-0.019072473,-0.02154053,-0.036908852
279.9960805,-0.017697876,-0.022809536,-0.030108021,-0.030931665,-0.052425275
280.9969171,-0.019946936,-0.022960952,-0.029082244,-0.03676855,-0.052082016
282.0049337,-0.022938635,-0.029393196,-0.036394347,-0.044592885,-0.065507067
283.0105272,-0.016460088,-0.029545808,-0.036891864,-0.041466525,-0.071311818
283.1025206,-0.021474636,-0.029491656,-0.036839614,-0.044566448,-0.069559067
283.1994205,-0.014898473,-0.027233821,-0.036129929,-0.042796465,-0.069457468
283.3012367,-0.012245949,-0.03288743,-0.04336158,-0.047165652,-0.076961903
283.4006994,-0.01144556,-0.028799199,-0.03955441,-0.050779898,-0.081909852
283.5026604,-0.009654536,-0.028651684,-0.042977849,-0.056392052,-0.100101303
283.592544,-0.00787474,-0.038196654,-0.047500451,-0.062866981,-0.099177913
283.6946432,-0.002473498,-0.036215322,-0.055996615,-0.068255796,-0.107245109
283.7992494,-0.002666819,-0.039889745,-0.064200743,-0.087724967,-0.127686275
283.8990621,-0.005941898,-0.056091391,-0.07971688,-0.114271411,-0.152312618
284.0038192,-0.006635211,-0.063236602,-0.093170751,-0.128211355,-0.219131072
284.0964596,0.015746998,-0.058104265,-0.109451955,-0.13669414,-0.203435862
284.1964815,0.02838583,-0.044846346,-0.09920083,-0.158422479,-0.270042994
284.299016,0.076377205,-0.024949432,-0.115351967,-0.132821038,-0.219187065
284.4016245,0.100133068,0.000332679,-0.076017705,-0.162286784,-0.216278847
284.4994158,0.132679318,-0.019162568,-0.083114314,-0.130707698,-0.276786718
284.5972743,0.1705233,0.054437813,-0.021254326,-0.080665637,-0.192009914
284.6976492,0.295560303,0.171060687,0.057326732,-0.026711364,-0.051792881
284.8005457,0.450640856,0.320612267,0.248899733,0.176939652,0.079688727
284.8986115,0.505593035,0.391597788,0.296439595,0.195794937,0.172864096
284.9991991,0.465709319,0.358021402,0.287986437,0.229005877,0.177938638
285.1023137,0.400720639,0.321873916,0.246347776,0.194049071,0.146219322
285.2005875,0.357268062,0.273256305,0.214989381,0.188079793,0.140715859
285.298929,0.301678017,0.235128503,0.183646012,0.120641303,0.076147821
