Date: 11/15/2024

From File
Beamline Energy
Y:\Collins\2024Nov\Macros\carbon_nexafs.txt
: -3.00000000
: 3.00000000
: 0.50000000
Delay After Move (s): 0.10000000
Count Time (s): 5.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 7
pol=100
Time of Day	Time (s)	Beamline Energy	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint
21:38:39	70.20200000	249.99838700	100.00000000	0.00000000	-40.00000000	496.14123535	0.01351283	-0.13288625	-1.32193494E-5	0.04568898	0.13167698	0.13152043	-0.91107544	0.00016513	0.00000000	8.50000000	0.00000000	1212316.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:38:54	15.25200000	270.00017626	100.00000000	0.00000000	-40.00000000	495.71128845	0.01519395	-0.13439325	-2.20265979E-5	0.04174399	0.18418765	0.18393875	-0.90621649	0.00014584	0.00000000	8.50000000	0.00000000	1212296.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:39:01	22.29900000	271.00170626	100.00000000	0.00000000	-40.00000000	495.51487732	0.01513583	-0.13167809	-1.82360949E-5	0.03870712	0.18615904	0.18610367	-0.90172575	0.00015376	0.00000000	8.50000000	0.00000000	1212296.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:39:07	28.67400000	272.01740063	100.00000000	0.00000000	-40.00000000	495.32995605	0.01520771	-0.13085522	-3.09883596E-5	0.03809005	0.18821518	0.18808506	-0.90439521	0.00015879	0.00000000	8.50000000	0.00000000	1212300.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:39:14	35.46900000	272.99794396	100.00000000	0.00000000	-40.00000000	495.13778687	0.01541727	-0.13602583	-2.91637896E-5	0.04442746	0.18856458	0.18853292	-0.90227147	0.00014893	0.00000000	8.50000000	0.00000000	1212308.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:39:21	42.16000000	274.00372847	100.00000000	0.00000000	-40.00000000	494.94865417	0.01530117	-0.13581016	-2.74772952E-5	0.04350663	0.18904212	0.18894645	-0.90270543	0.00013486	0.00000000	8.50000000	0.00000000	1212328.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:39:28	49.00800000	275.01009517	100.00000000	0.00000000	-40.00000000	494.75583245	0.01537878	-0.13366046	-3.31186683E-5	0.03628396	0.18906263	0.18890493	-0.90220244	0.00015402	0.00000000	8.50000000	0.00000000	1212324.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:39:34	55.37600000	276.00316379	100.00000000	0.00000000	-40.00000000	494.81178284	0.01538806	-0.13248123	-1.93998747E-5	0.04259917	0.19025436	0.19018788	-0.90107482	0.00014255	0.00000000	8.50000000	0.00000000	1212320.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:39:41	62.07900000	277.00574838	100.00000000	0.00000000	-40.00000000	495.52584839	0.01547691	-0.13450305	-3.01073060E-5	0.03793797	0.19126921	0.19108781	-0.90329718	0.00015527	0.00000000	8.50000000	0.00000000	1212320.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:39:47	68.63500000	278.00863670	100.00000000	0.00000000	-40.00000000	495.54016113	0.01541757	-0.13274324	-5.61861825E-6	0.04311785	0.19165645	0.19140140	-0.90137070	0.00016050	0.00000000	8.50000000	0.00000000	1212528.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:39:56	76.96500000	279.01646044	100.00000000	0.00000000	-40.00000000	496.54270935	0.01533937	-0.13178230	-1.28774479E-5	0.04118137	0.18938396	0.18910041	-0.90847830	0.00015057	0.00000000	8.50000000	0.00000000	1212308.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:40:04	85.20300000	279.99134293	100.00000000	0.00000000	-40.00000000	496.40187073	0.01528578	-0.13487815	-8.00535299E-6	0.04265878	0.18591063	0.18591543	-0.90302760	0.00014488	0.00000000	8.50000000	0.00000000	1212340.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:40:10	91.43100000	280.19520264	100.00000000	0.00000000	-40.00000000	496.26742554	0.01518857	-0.13209856	-6.71007272E-6	0.05279451	0.18505177	0.18496892	-0.90219915	0.00015705	0.00000000	8.50000000	0.00000000	1212244.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:40:16	97.84700000	280.39698378	100.00000000	0.00000000	-40.00000000	496.51748657	0.01521639	-0.13365980	-1.06386513E-5	0.04289232	0.18443625	0.18433706	-0.90762683	0.00016576	0.00000000	8.50000000	0.00000000	1212232.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:40:23	104.13900000	280.60381388	100.00000000	0.00000000	-40.00000000	496.77372742	0.01508425	-0.13118661	-1.47381806E-5	0.04047104	0.18376040	0.18382053	-0.90501655	0.00014857	0.00000000	8.50000000	0.00000000	1212264.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:40:29	110.49400000	280.79903668	100.00000000	0.00000000	-40.00000000	497.04075623	0.01515368	-0.13436793	-5.75340632E-6	0.03714246	0.18262966	0.18260316	-0.90388893	0.00016287	0.00000000	8.50000000	0.00000000	1212264.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
