sam_th,energy,polarization,scan,q,R,R_err
1.0,250.0,100.0,0.0,0.004422204808653363,0.9089698852101674,0.9109105955013568
1.0,284.0,100.0,1.0,0.00502362466263022,0.32928495198235963,0.33690182305909294
1.0,284.2,100.0,8.0,0.005027162426477143,0.17629193579648153,0.18218079862338535
1.0,284.6,100.0,9.0,0.005034237954170988,0.10890726004215252,0.11325173780840551
1.0,285.0,100.0,2.0,0.005041313481864833,0.4700741276112446,0.47692342834674645
1.0,285.5,100.0,3.0,0.00505015789148214,0.6551012225609075,0.6613578380376129
1.0,286.0,100.0,4.0,0.005059002301099447,0.6031903636606062,0.6094182835135333
1.0,286.5,100.0,5.0,0.005067846710716754,0.22173129648121687,0.22883123504890376
1.0,287.7,100.0,6.0,0.00508907329379829,0.3224808328288687,0.3300753906905832
1.0,288.6,100.0,7.0,0.005104993231109442,0.5470860287648833,0.5530864582781028
1.208,285.0,100.0,2.0,0.0060897646880661545,0.4594514981916022,0.4661460199694391
1.208,285.5,100.0,3.0,0.006100448485764516,0.5407330367828374,0.5458973664622662
1.208,286.0,100.0,4.0,0.006111132283462878,0.5888782663213229,0.5949584142592357
1.208,286.5,100.0,5.0,0.00612181608116124,0.16069979780825502,0.16584547958789037
1.208,287.7,100.0,6.0,0.006147457195637308,0.2590202750052932,0.26512031031166694
1.208,288.6,100.0,7.0,0.006166688031494359,0.5099239668836906,0.5155168035848848
1.218,284.0,100.0,1.0,0.006118624631585059,0.34433741483588004,0.3523024726981083
1.218,284.2,100.0,8.0,0.006122933522170683,0.17583398315130921,0.1817075485098606
1.218,284.6,100.0,9.0,0.00613155130334193,0.12726045875422204,0.13233707378766316
1.25,250.0,100.0,0.0,0.005527598147953293,0.9471620622877511,0.9491843153806365
1.416,285.0,100.0,2.0,0.007138135637541364,0.40836084142886214,0.4143109374823552
1.416,285.5,100.0,3.0,0.007150658682519506,0.4853094679469147,0.48994446880415404
1.416,286.0,100.0,4.0,0.007163181727497649,0.4352154190508342,0.4397090033517462
1.416,286.5,100.0,5.0,0.007175704772475791,0.1224541847797315,0.12637522435821935
1.416,287.7,100.0,6.0,0.007205760080423334,0.21189542522641266,0.21688565070244453
1.416,288.6,100.0,7.0,0.007228301561383992,0.44450479319990216,0.44938011360591906
1.434,284.0,100.0,1.0,0.0072034914152873985,0.27648030266298146,0.2828757203945302
1.434,284.2,100.0,8.0,0.00720856429656577,0.1538973302622861,0.1590381227962541
1.434,284.6,100.0,9.0,0.007218710059122514,0.13216878428679366,0.13744119995958182
1.5,250.0,100.0,0.0,0.0066328862497523474,0.9511530437548531,0.953183817854794
1.6239999999999999,285.0,100.0,2.0,0.008186412513858387,0.34593695053401646,0.350977487910048
1.6239999999999999,285.5,100.0,3.0,0.008200774641075681,0.4564550466273849,0.4608144701955247
1.6239999999999999,286.0,100.0,4.0,0.008215136768292977,0.42917568560478186,0.4336069098646501
1.6239999999999999,286.5,100.0,5.0,0.008229498895510272,0.08745073320260718,0.09025094608771195
1.6239999999999999,287.7,100.0,6.0,0.00826396800083178,0.18421597249350657,0.18855433533473745
1.6239999999999999,288.6,100.0,7.0,0.008289819829822914,0.3877101584007467,0.3919625562956354
1.652,284.0,100.0,1.0,0.008298299409697497,0.2746424498428673,0.2809953551914342
1.652,284.2,100.0,8.0,0.008304143282521227,0.1277002754026242,0.1319659804753284
1.652,284.6,100.0,9.0,0.008315831028168689,0.16103801995522163,0.16746207375058914
1.75,250.0,100.0,0.0,0.007738048070958305,0.961164176591107,0.9632163251159193
1.834,285.0,100.0,2.0,0.009244659481187955,0.30525027558708406,0.309697980351682
1.834,285.5,100.0,3.0,0.009260878182032143,0.38587961271499693,0.38956499792557525
1.834,286.0,100.0,4.0,0.009277096882876333,0.414358622293964,0.41863686088245067
1.834,286.5,100.0,5.0,0.009293315583720523,0.07185017834235106,0.07415085425235395
1.834,287.7,100.0,6.0,0.009332240465746577,0.1305997811170189,0.13367546033094227
1.834,288.6,100.0,7.0,0.00936143412726612,0.353738721186013,0.3576185209816047
1.8699999999999999,284.0,100.0,1.0,0.009392987272773809,0.20022734089965882,0.2048589094924184
1.8699999999999999,284.2,100.0,8.0,0.009399602052543369,0.15754111882879515,0.16280362862079578
1.8699999999999999,284.6,100.0,9.0,0.009412831612082487,0.17138489137110563,0.1782216977488004
2.0,250.0,100.0,0.0,0.008843062570883149,0.941287853982094,0.9432975652551712
2.042,285.0,100.0,2.0,0.010292705529775027,0.26111990087975295,0.26492459597803103
2.042,285.5,100.0,3.0,0.01031076290789744,0.3301062107123913,0.3332589259810729
2.042,286.0,100.0,4.0,0.010328820286019853,0.35544781687323934,0.35911780341272925
2.042,286.5,100.0,5.0,0.010346877664142265,0.044379431990630276,0.04580048190916988
2.042,287.7,100.0,6.0,0.010390215371636055,0.11454319360408423,0.11724073349772939
2.042,288.6,100.0,7.0,0.010422718652256397,0.32263960403918424,0.32617830928921754
2.088,284.0,100.0,1.0,0.010487539157135257,0.18038749557813358,0.18456013781216757
2.088,284.2,100.0,8.0,0.010494924748090986,0.15032566022257582,0.15534714454864543
2.088,284.6,100.0,9.0,0.010509695930002446,0.18018402433458924,0.18737184163210113
2.25,250.0,100.0,0.0,0.009947908711643645,0.8460094862991272,0.8478157720113594
2.25,285.0,100.0,2.0,0.011340615931273754,0.2220639726447554,0.22529959622372855
2.25,285.5,100.0,3.0,0.011360511748697042,0.3125236866206608,0.3155084780806799
2.25,286.0,100.0,4.0,0.01138040756612033,0.2956944558707968,0.2987474910037559
2.25,286.5,100.0,5.0,0.011400303383543618,0.04974339408300319,0.05133620054624182
2.25,287.7,100.0,6.0,0.011448053345359506,0.09069270201199384,0.09282855289969862
2.25,288.6,100.0,7.0,0.011483865816721424,0.30391268349091727,0.3072459922204011
2.304,284.0,100.0,1.0,0.011571899587683038,0.1996894327571864,0.20430855870126838
2.304,284.2,100.0,8.0,0.011580048812744785,0.152168288582285,0.15725132413928453
2.304,284.6,100.0,9.0,0.011596347262868286,0.19510846477853516,0.20289164091307402
2.458,285.0,100.0,2.0,0.012388376875321601,0.1855042712202055,0.18820719500748967
2.458,285.5,100.0,3.0,0.01241011086983971,0.23250730049571056,0.23472788675723782
2.458,286.0,100.0,4.0,0.012431844864357819,0.24473828294548355,0.24726519733761249
2.458,286.5,100.0,5.0,0.012453578858875925,0.05278213806882239,0.054472246518585385
2.458,287.7,100.0,6.0,0.012505740445719385,0.07150495468764444,0.07318892613801206
2.458,288.6,100.0,7.0,0.01254486163585198,0.24327944680681748,0.2459477313102163
2.5,250.0,100.0,0.0,0.011052565458561871,0.8947572761036945,0.8966676415427535
2.522,284.0,100.0,1.0,0.01266613359080885,0.18098815967056114,0.18517469619561847
2.522,284.2,100.0,8.0,0.012675053403196742,0.1644320440644199,0.16992473859674745
2.522,284.6,100.0,9.0,0.012692893027972533,0.19664105407805726,0.20448536755214533
2.666,285.0,100.0,2.0,0.013435974553525725,0.1881918146840087,0.19093389781306916
2.666,285.5,100.0,3.0,0.01345954643870735,0.20626072641872684,0.2082306419198812
2.666,286.0,100.0,4.0,0.013483118323888973,0.18275512838334293,0.18464206882678025
2.666,286.5,100.0,5.0,0.013506690209070598,0.049608825605773295,0.05119732312419159
2.666,287.7,100.0,6.0,0.013563262733506495,0.0722707469158076,0.07397275309194735
2.666,288.6,100.0,7.0,0.01360569212683342,0.24236242641574493,0.2450206530563406
2.74,284.0,100.0,1.0,0.013760184231121743,0.18418423055041822,0.1884446971463683
2.74,284.2,100.0,8.0,0.01376987450170704,0.1835236210712306,0.18965405140034566
2.74,284.6,100.0,9.0,0.013789255042877636,0.21111101993565398,0.2195325625579406
2.75,250.0,100.0,0.0,0.012157011780565694,0.8176628528126784,0.8194086166041926
2.876,285.0,100.0,2.0,0.014493465607247694,0.15143168628927686,0.15363814926895653
2.876,285.5,100.0,3.0,0.014518892739891986,0.18190416009940713,0.18364145556484068
2.876,286.0,100.0,4.0,0.014544319872536283,0.1335720101333621,0.13495113656478666
2.876,286.5,100.0,5.0,0.014569747005180576,0.06451463158358671,0.06658041989687168
2.876,287.7,100.0,6.0,0.014630772123526882,0.06028287792353409,0.06170256479436249
2.876,288.6,100.0,7.0,0.014676540962286613,0.20356336945627385,0.20579604875289825
2.956,284.0,100.0,1.0,0.014844001289306144,0.16252894524804848,0.16628849154598607
2.956,284.2,100.0,8.0,0.014854454811340866,0.17400397553378982,0.17981641124518477
2.956,284.6,100.0,9.0,0.014875361855410314,0.17624776944504233,0.18327856349320132
3.0,250.0,100.0,0.0,0.013261226650589176,0.8106491659728136,0.8123799550831521
3.084,285.0,100.0,2.0,0.015540693435033393,0.12729845701600684,0.12915328238088855
3.084,285.5,100.0,3.0,0.01556795780948082,0.17587067379609497,0.17755034579436996
3.084,286.0,100.0,4.0,0.015595222183928246,0.07789241955296328,0.07869665611798801
3.084,286.5,100.0,5.0,0.015622486558375673,0.059751533389542616,0.06166480509779145
3.084,287.7,100.0,6.0,0.015687921057049498,0.055448367174709766,0.05675419930479917
3.084,288.6,100.0,7.0,0.015736996931054868,0.18442341079797822,0.1864461633796501
3.174,284.0,100.0,1.0,0.015937639737181018,0.14766026767653936,0.15107587842728024
3.174,284.2,100.0,8.0,0.015948863427136778,0.15987415317073614,0.16521459573457953
3.174,284.6,100.0,9.0,0.015971310807048302,0.1655347935012659,0.1721382304955414
3.25,250.0,100.0,0.0,0.014365189045972874,0.8535844926139714,0.8554069514612549
3.292,285.0,100.0,2.0,0.01658771645274177,0.11069034944138575,0.11230318334844315
3.292,285.5,100.0,3.0,0.016616817709676403,0.12693037676350558,0.1281426391320875
3.292,286.0,100.0,4.0,0.01664591896661104,0.04419870694668638,0.04465505708264754
3.292,286.5,100.0,5.0,0.016675020223545674,0.057213509318997435,0.05904551232377433
3.292,287.7,100.0,6.0,0.016744863240188798,0.052403090603836716,0.053637205202935086
3.292,288.6,100.0,7.0,0.01679724550267114,0.15574568220443616,0.15745389798571985
3.392,284.0,100.0,1.0,0.017031047461889066,0.14480935452143542,0.14815901923418498
3.392,284.2,100.0,8.0,0.017043041157284763,0.13796634769243252,0.14257498105174624
3.392,284.6,100.0,9.0,0.01706702854807616,0.1363423759047674,0.14178128255329664
3.5,250.0,100.0,0.0,0.015468877948864111,0.801064635937544,0.8027749614479566
3.5,285.0,100.0,2.0,0.017634520861705087,0.10076010410055362,0.10222824755833591
3.5,285.5,100.0,3.0,0.017665458617602815,0.10121536736836485,0.10218203574288229
3.5,286.0,100.0,4.0,0.017696396373500546,0.017381609593218703,0.017561074117161835
