sam_th,energy,polarization,scan,q,R,R_err
1.0,250.0,100.0,0.0,0.004422204808653363,0.9096575437314799,0.9114318376284198
1.0,284.0,100.0,1.0,0.00502362466263022,0.08193225347904214,0.0853707332965954
1.0,284.2,100.0,2.0,0.005027162426477143,0.03152062447746503,0.033020918073393885
1.0,284.6,100.0,3.0,0.005034237954170988,0.4165629601802857,0.42418428680920384
1.0,285.0,100.0,4.0,0.005041313481864833,0.4972803536457876,0.5044213412962782
1.0,285.5,100.0,5.0,0.00505015789148214,0.5609411539228399,0.567202436898983
1.0,286.0,100.0,6.0,0.005059002301099447,0.3769084566896524,0.3847515397009911
1.0,286.5,100.0,7.0,0.005067846710716754,0.07172137588900936,0.07494343300987105
1.0,287.0,100.0,8.0,0.005076691120334061,0.3517904709795395,0.3593616234226671
1.0,287.7,100.0,9.0,0.00508907329379829,0.36251947389725814,0.3711712727196006
1.0,288.6,100.0,10.0,0.005104993231109442,0.5360797554428504,0.5443011267021429
1.178,285.0,100.0,4.0,0.005938550391837698,0.45632799525642687,0.46288090360039974
1.178,285.5,100.0,5.0,0.005948968901297062,0.46099416840676793,0.4661398328290712
1.178,286.0,100.0,6.0,0.005959387410756426,0.3188262415526273,0.3254606925295374
1.178,286.5,100.0,7.0,0.005969805920215791,0.06014869462047125,0.06285085318073562
1.178,287.0,100.0,8.0,0.005980224429675155,0.2823847028840477,0.2884621205787037
1.178,287.7,100.0,9.0,0.005994810342918265,0.27465952633609964,0.2812144816905071
1.178,288.6,100.0,10.0,0.0060135636599451215,0.49622660439441185,0.5038367838537992
1.186,284.0,100.0,1.0,0.00595789585852343,0.09126641869897069,0.09509662872483127
1.186,284.2,100.0,2.0,0.005962091559832249,0.06742196410186735,0.07063106108658267
1.186,284.6,100.0,3.0,0.005970482962449889,0.41928743278726877,0.42695860565220456
1.208,250.0,100.0,0.0,0.005341898849180837,0.9265076942106533,0.9283148544531358
1.358,285.0,100.0,4.0,0.006845810296946648,0.3343678478105854,0.3391693981924395
1.358,285.5,100.0,5.0,0.006857820490450063,0.4282009233484752,0.4329805461894467
1.358,286.0,100.0,6.0,0.0068698306839534784,0.2707431714263418,0.2763770624430094
1.358,286.5,100.0,7.0,0.006881840877456893,0.05793072311268102,0.060533240097446296
1.358,287.0,100.0,8.0,0.006893851070960309,0.29350333328533784,0.2998200435494957
1.358,287.7,100.0,9.0,0.00691066534186509,0.29788596112762916,0.3049952327481844
1.358,288.6,100.0,10.0,0.006932283690171238,0.3992096528820028,0.40533197093880946
1.37,284.0,100.0,1.0,0.006882059383877756,0.09231894625618872,0.09619332807776144
1.37,284.2,100.0,2.0,0.006886905904570628,0.11640900657075204,0.12194974981305043
1.37,284.6,100.0,3.0,0.006896598945956372,0.3467217248211138,0.35306525453162846
1.416,250.0,100.0,0.0,0.006261522489071371,1.0740658071872315,1.0761607806415128
1.536,285.0,100.0,4.0,0.007742923125590021,0.3095742029172174,0.3140197144757073
1.536,285.5,100.0,5.0,0.00775650720124895,0.316239897495027,0.31976979982562903
1.536,286.0,100.0,6.0,0.007770091276907881,0.20221200897514818,0.20641983595311258
1.536,286.5,100.0,7.0,0.00778367535256681,0.1061353335957011,0.11090342543928584
1.536,287.0,100.0,8.0,0.00779725942822574,0.23617514506630574,0.24125805143837395
1.536,287.7,100.0,9.0,0.007816277134148241,0.2379580742367827,0.24363712194231965
1.536,288.6,100.0,10.0,0.007840728470334317,0.41679057644151324,0.4231825172516443
1.556,284.0,100.0,1.0,0.007816195992950838,0.09371354526950261,0.09764645472039395
1.556,284.2,100.0,2.0,0.007821700356326155,0.16624397077085942,0.1741567189744243
1.556,284.6,100.0,3.0,0.00783270908307679,0.34341548035056263,0.349698519879679
1.624,250.0,100.0,0.0,0.007181063608647708,1.0293470856437412,1.0313548348945183
1.714,285.0,100.0,4.0,0.008639961223483893,0.24941197511959867,0.2529935520332166
1.714,285.5,100.0,5.0,0.00865511905019176,0.26754848970545275,0.27053489352369703
1.714,286.0,100.0,6.0,0.008670276876899627,0.14504333037473324,0.14806153508778572
1.714,286.5,100.0,7.0,0.008685434703607492,0.10405663816375327,0.10873134535965676
1.714,287.0,100.0,8.0,0.00870059253031536,0.18229687117536103,0.18622022190663803
1.714,287.7,100.0,9.0,0.008721813487706372,0.1921511145742622,0.1967369448716342
1.714,288.6,100.0,10.0,0.008749097575780532,0.3116457443083746,0.3164251737483488
1.74,284.0,100.0,1.0,0.008740207109623564,0.13676192235971998,0.1425014582552385
1.74,284.2,100.0,2.0,0.008746362185052875,0.19545044879881496,0.20475334369748435
1.74,284.6,100.0,3.0,0.008758672335911502,0.3218756155330439,0.32776456734671383
1.834,250.0,100.0,0.0,0.008109350422094697,0.9899469401302508,0.9918778391001668
1.8920000000000001,285.0,100.0,4.0,0.009536915932873528,0.20448550617522054,0.20742193522092078
1.8920000000000001,285.5,100.0,5.0,0.00955364736433471,0.24568890235288482,0.24843130720403783
1.8920000000000001,286.0,100.0,6.0,0.009570378795795892,0.09906199136535482,0.10112337101273888
1.8920000000000001,286.5,100.0,7.0,0.009587110227257074,0.13264769526626735,0.13860684546104302
1.8920000000000001,287.0,100.0,8.0,0.009603841658718255,0.14994024564081151,0.15316722462618776
1.8920000000000001,287.7,100.0,9.0,0.00962726566276391,0.1691069114217561,0.17314277454756263
1.8920000000000001,288.6,100.0,10.0,0.009657382239394037,0.2700349923115196,0.27417627521252985
1.926,284.0,100.0,1.0,0.009674170176530468,0.16396361996972228,0.17084473911559173
1.926,284.2,100.0,2.0,0.009680982972429433,0.21218567861051157,0.2222851236578253
1.926,284.6,100.0,3.0,0.009694608564227367,0.28149174677399424,0.2866418459200653
2.042,250.0,100.0,0.0,0.009028689061206165,0.9142363629060895,0.9160195878243491
2.072,285.0,100.0,4.0,0.010443855149504008,0.18630470116256914,0.1889800523210786
2.072,285.5,100.0,5.0,0.010462177702397876,0.20293264378439954,0.20519779887053488
2.072,286.0,100.0,6.0,0.010480500255291743,0.05298412398555027,0.054086669909702616
2.072,286.5,100.0,7.0,0.010498822808185608,0.15336965408368577,0.1602597308556257
2.072,287.0,100.0,8.0,0.010517145361079476,0.11499906408835006,0.1174740471161892
2.072,287.7,100.0,9.0,0.01054279693513089,0.12520730958101403,0.1281954758219501
2.072,288.6,100.0,10.0,0.01057577753033985,0.2735616603841578,0.2777570286096726
2.112,284.0,100.0,1.0,0.010608031291856375,0.1579747381691517,0.16460451979741897
2.112,284.2,100.0,2.0,0.010615501736428104,0.24167693519267505,0.25318008159805505
2.112,284.6,100.0,3.0,0.010630442625571565,0.23368790244353457,0.23796339499567634
2.25,250.0,100.0,0.0,0.009947908711643645,0.9377527177871559,0.9395818115329004
2.25,285.0,100.0,4.0,0.011340615931273754,0.15390118512581513,0.15611121907210318
2.25,285.5,100.0,5.0,0.011360511748697042,0.16887972512840171,0.1707647780266735
2.25,286.0,100.0,6.0,0.01138040756612033,0.03329631696997777,0.03398917958245666
2.25,286.5,100.0,7.0,0.011400303383543618,0.13391162565453713,0.1399275574692597
2.25,287.0,100.0,8.0,0.011420199200966905,0.09484960619717497,0.09689093729318184
2.25,287.7,100.0,9.0,0.011448053345359506,0.14279671233875244,0.14620466285342448
2.25,288.6,100.0,10.0,0.011483865816721424,0.24029009424787007,0.24397520649970317
2.296,284.0,100.0,1.0,0.011531740928060362,0.19927679662068484,0.20763991632252687
2.296,284.2,100.0,2.0,0.011539861872375897,0.2762428942993726,0.28939128371451567
2.296,284.6,100.0,3.0,0.011556103761006969,0.20200041036640107,0.20569615687711232
2.428,285.0,100.0,4.0,0.01223726725919583,0.13387847496927655,0.1358009811157854
2.428,285.5,100.0,5.0,0.012258736149124242,0.16119958021184155,0.1629989065409642
2.428,286.0,100.0,6.0,0.012280205039052658,0.012113812919559442,0.012365889089848618
2.428,286.5,100.0,7.0,0.01230167392898107,0.14497594924625046,0.15148894183503525
2.428,287.0,100.0,8.0,0.012323142818909484,0.06612719759254726,0.06755037171155037
2.428,287.7,100.0,9.0,0.012353199264809264,0.09035247142380112,0.09250880084096706
2.428,288.6,100.0,10.0,0.012391843266680408,0.2307010952245425,0.2342391496548941
2.458,250.0,100.0,0.0,0.010866997259054037,1.026019978230926,1.0280212379336113
2.482,284.0,100.0,1.0,0.01246536997703672,0.2126798579555588,0.2216054686659654
2.482,284.2,100.0,2.0,0.012474148406598013,0.30601892943574405,0.32058457487191516
2.482,284.6,100.0,3.0,0.012491705265720602,0.13986208880736903,0.1424209688896077
2.608,285.0,100.0,4.0,0.013143873182275398,0.0960353325456297,0.0974144079880663
2.608,285.5,100.0,5.0,0.01316693260891097,0.12111413879284628,0.12246602729325426
2.608,286.0,100.0,6.0,0.01318999203554654,0.004594551404715842,0.0046901593631669325
2.608,286.5,100.0,7.0,0.01321305146218211,0.1478728916237724,0.15451602831116826
2.608,287.0,100.0,8.0,0.013236110888817681,0.05459820592936027,0.05577325577952094
2.608,287.7,100.0,9.0,0.013268394086107482,0.09883434182234677,0.10119309743068111
2.608,288.6,100.0,10.0,0.013309901054051509,0.1756012064054972,0.1782942435828602
2.666,250.0,100.0,0.0,0.011785942590812039,1.0022578370364805,1.0042127485036236
2.666,284.0,100.0,1.0,0.013388830783162475,0.2251882708667974,0.2346388265594132
2.666,284.2,100.0,2.0,0.013398259537235125,0.23970914103882385,0.2511186259442789
